Recorder Data Information,Test Reference Number,22_02_21_ETC_TB10_6,Source Frequency,10 Hz,
,Recorder Name,Legislative_Recorder,Destination Frequency,10 Hz,

Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX,
Count= 677,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--,
11,11,22/02/2021 22:03:35:283,10,0,1641,0,0,27,4.0,0.33,0.00,0.00,27,0.30,65,910.5,23.10,36.830,0.00,0.00,0.000,5,1590,0,#####,#####,#####,0.00,#####,45.92,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,6.00,88888,0,5,2,2,
12,12,22/02/2021 22:03:35:383,21,4,1641,0,0,27,6.6,0.30,0.00,0.00,27,0.51,65,910.5,23.10,36.830,0.00,0.00,0.000,5,1590,0,#####,#####,#####,0.00,#####,45.92,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,6.00,88888,0,5,2,2,
13,13,22/02/2021 22:03:35:483,33,14,1641,0,0,27,9.2,0.26,0.00,0.00,27,0.73,65,910.5,23.10,36.820,0.00,0.00,0.000,5,1632,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,2,2,
14,14,22/02/2021 22:03:35:583,44,24,1641,0,0,27,11.7,0.21,0.00,0.00,27,0.94,65,910.5,23.10,36.820,0.00,0.00,0.000,5,1632,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,2,2,
15,15,22/02/2021 22:03:35:683,55,35,1633,0,1,27,14.3,0.16,0.00,0.00,27,1.16,65,910.5,23.10,36.820,0.00,0.00,0.000,5,1606,0,#####,#####,#####,0.00,#####,45.92,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-6,10,#####,0.00,#####,5.00,88888,0,5,2,2,
16,16,22/02/2021 22:03:35:783,66,46,1633,0,1,27,16.9,0.13,0.00,0.00,27,1.37,65,910.5,23.10,36.820,0.00,0.00,0.000,5,1606,0,#####,#####,#####,0.00,#####,45.92,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,69.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-6,10,#####,0.00,#####,5.00,88888,0,5,2,2,
17,17,22/02/2021 22:03:35:883,77,57,1633,0,1,27,19.5,0.11,0.00,0.00,27,1.58,65,910.5,23.10,36.810,0.00,0.00,0.000,5,1650,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-3,10,#####,0.00,#####,5.00,88888,0,5,2,2,
18,18,22/02/2021 22:03:35:983,89,68,1633,0,1,27,22.0,0.10,0.00,0.00,27,1.79,65,910.5,23.10,36.810,0.00,0.00,0.000,5,1650,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-3,10,#####,0.00,#####,5.00,88888,0,5,2,2,
19,19,22/02/2021 22:03:36:83,100,79,1633,0,1,27,24.6,0.09,0.00,0.00,27,2.00,65,910.5,23.10,36.810,0.00,0.00,0.000,5,1650,0,#####,#####,#####,0.00,#####,43.57,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,2,2,
20,20,22/02/2021 22:03:36:183,111,91,1684,0,1,27,27.2,0.09,0.00,0.00,3,2.21,65,910.5,23.10,36.770,0.00,0.00,0.000,5,1650,0,#####,#####,#####,0.00,#####,43.57,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,2,2,
21,21,22/02/2021 22:03:36:283,112,102,1684,0,1,3,25.0,0.10,0.00,0.00,3,2.03,65,910.5,23.10,36.770,0.00,0.00,0.000,5,1709,0,#####,#####,#####,0.00,#####,44.35,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,3,3,
22,22,22/02/2021 22:03:36:383,112,109,1684,0,1,3,22.6,0.11,0.00,0.00,3,1.83,65,910.5,23.10,36.770,0.00,0.00,0.000,5,1709,0,#####,#####,#####,0.00,#####,44.35,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,5.00,88888,0,5,3,3,
23,23,22/02/2021 22:03:36:483,113,111,1684,0,1,3,20.1,0.12,0.00,0.00,3,1.63,65,910.5,23.10,36.790,0.00,0.00,0.000,5,1680,0,#####,#####,#####,0.00,#####,44.35,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,3,3,
24,24,22/02/2021 22:03:36:583,113,112,1684,0,1,3,17.7,0.13,0.00,0.00,3,1.43,65,910.5,23.10,36.780,0.00,0.00,0.000,5,1680,0,#####,#####,#####,0.00,#####,44.35,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,3,3,
25,25,22/02/2021 22:03:36:683,114,113,1800,0,1,3,15.3,0.15,0.00,0.00,3,1.23,65,910.5,23.10,36.780,0.00,0.00,0.000,5,1715,0,#####,#####,#####,0.00,#####,37.29,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-15,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,24.00,88888,0,5,3,3,
26,26,22/02/2021 22:03:36:783,115,113,1800,0,1,3,12.8,0.17,0.00,0.00,3,1.03,65,910.5,23.10,36.780,0.00,0.00,0.000,5,1715,0,#####,#####,#####,0.00,#####,37.29,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-15,1,#####,1,#####,0,0.00,31.00,-2,10,#####,0.00,#####,24.00,88888,0,5,3,3,
