Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX
Count= 678,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--
14,14,22/02/2021 15:32:35:663,44,22,1581,0,1,27,11.7,0.14,0,0,27,0.95,58,907.6,20.96,37.18,0,0,0,5,1560,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,2,2
15,15,22/02/2021 15:32:35:763,55,33,1581,0,1,27,14.3,0.1,0,0,27,1.16,58,907.6,20.96,37.18,0,0,0,5,1560,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,5,88888,0,5,2,2
16,16,22/02/2021 15:32:35:863,66,45,1581,0,1,27,16.9,0.05,0,0,27,1.37,58,907.6,20.96,37.21,0,0,0,5,1578,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,2,2
17,17,22/02/2021 15:32:35:963,77,56,1600,0,1,27,19.5,0.02,0,0,27,1.59,58,907.6,20.96,37.21,0,0,0,5,1578,0,#####,#####,#####,0,#####,43.96,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,2,2
18,18,22/02/2021 15:32:36:63,89,68,1600,0,1,27,22,-0.01,0,0,27,1.8,58,907.6,20.96,37.19,0,0,0,5,1584,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,2,2
19,19,22/02/2021 15:32:36:163,100,79,1600,0,1,27,24.6,-0.03,0,0,27,2.01,58,907.6,20.96,37.19,0,0,0,5,1584,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,2,2
20,20,22/02/2021 15:32:36:263,111,90,1600,0,1,27,27.2,-0.05,0,0,27,2.22,58,907.6,20.96,37.19,0,0,0,5,1591,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,6.5,88888,0,5,2,2
21,21,22/02/2021 15:32:36:363,112,101,1600,0,1,3,25,-0.05,0,0,3,2.04,58,907.6,20.96,37.19,0,0,0,5,1591,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,6.5,88888,0,5,3,3
22,22,22/02/2021 15:32:36:463,112,109,1558,0,1,3,22.6,-0.02,0,0,3,1.84,58,907.6,20.96,37.21,0,0,0,5,1553,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,3,3
23,23,22/02/2021 15:32:36:563,113,111,1558,0,1,3,20.1,-0.01,0,0,3,1.64,58,907.6,20.96,37.21,0,0,0,5,1553,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,3,3
24,24,22/02/2021 15:32:36:663,113,112,1558,0,1,3,17.7,0,0,0,3,1.45,58,907.6,20.96,37.2,0,0,0,5,1579,0,#####,#####,#####,0,#####,46.32,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,3,3
25,25,22/02/2021 15:32:36:763,114,113,1558,0,1,3,15.3,0,0,0,3,1.25,58,907.6,20.96,37.2,0,0,0,5,1579,0,#####,#####,#####,0,#####,46.32,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,3,3
26,26,22/02/2021 15:32:36:863,115,113,1558,0,1,3,12.8,0,0,0,3,1.05,58,907.6,20.96,37.2,0,0,0,5,1512,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,3,3
27,27,22/02/2021 15:32:36:963,115,114,1568,0,1,3,10.4,0.02,0,0,3,0.85,58,907.6,20.96,37.18,0,0,0,5,1512,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,3,3
28,28,22/02/2021 15:32:37:63,116,114,1568,0,1,3,8,0.04,0,0,3,0.65,58,907.6,20.96,37.17,0,0,0,5,1598,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,3,3
29,29,22/02/2021 15:32:37:163,116,115,1568,0,1,3,5.6,0.04,0,0,3,0.45,58,907.7,20.96,37.17,0,0,0,5,1598,0,#####,#####,#####,0,#####,44.75,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-20,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,3,3
30,30,22/02/2021 15:32:37:263,117,116,1568,0,1,3,3.1,0.03,0,0,3,0.25,58,907.7,20.96,37.17,0,0,0,5,1630,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,68,7897,-19,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,3,3
31,31,22/02/2021 15:32:37:363,116,116,1568,0,1,0,2.9,0.02,0,0,0,0.23,58,907.6,20.96,37.17,0,0,0,5,1630,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,68,7897,-19,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,4,4
32,32,22/02/2021 15:32:37:463,116,116,1602,0,1,0,2.6,0.02,0,0,0,0.21,58,907.6,20.96,37.17,0,0,0,5,1630,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,4,4
33,33,22/02/2021 15:32:37:563,115,116,1602,0,1,0,2.3,0.04,0,0,0,0.19,58,907.6,20.96,37.18,0,0,0,5,1630,0,#####,#####,#####,0,#####,45.14,#####,#####,#####,#####,15,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,5,88888,0,5,4,4
34,34,22/02/2021 15:32:37:663,115,115,1602,0,1,0,2,0.04,0,0,0,0.16,58,907.6,20.96,37.18,0,0,0,5,1601,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,4,4
35,35,22/02/2021 15:32:37:763,114,115,1602,0,1,0,1.8,0.03,0,0,0,0.14,58,907.5,20.96,37.18,0,0,0,5,1601,0,#####,#####,#####,0,#####,44.35,#####,#####,#####,#####,14,#####,#####,38,66,0,2,67,7897,-19,1,#####,1,#####,0,0,31,-1,11,#####,0,#####,5,88888,0,5,4,4
36,36,22/02/2021 15:32:37:863,113,114,1602,0,1,0,1.5,0.02,0,0,0,0.12,58,907.5,20.96,37.18,0,0,0,5,1538,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,15,#####,#####,38,66,0,2,68,7897,-19,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,4,4
37,37,22/02/2021 15:32:37:963,113,114,1571,0,1,0,1.2,0.02,0,0,0,0.1,58,907.5,20.96,37.17,0,0,0,5,1538,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,15,#####,#####,38,66,0,2,68,7897,-19,1,#####,1,#####,0,0,31,1,11,#####,0,#####,5,88888,0,5,4,4
38,38,22/02/2021 15:32:38:63,112,113,1571,0,1,0,0.9,0.04,0,0,0,0.07,58,907.5,20.96,37.16,0,0,0,5,1541,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,6,88888,0,5,4,4
39,39,22/02/2021 15:32:38:163,112,112,1571,0,1,0,0.6,0.05,0,0,0,0.05,58,907.5,20.96,37.16,0,0,0,5,1541,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,14,#####,#####,38,66,0,2,68,7897,-20,1,#####,1,#####,0,0,31,-2,11,#####,0,#####,6,88888,0,5,4,4
