Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX
Count= 678,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--
66,66,22/02/2021 15:32:40:863,385,366,1612,1,2,27,32.9,-0.77,0,0,27,4.31,58,907.5,20.97,37.16,-0.03,0,0,5,1748,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,66,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,6,88888,2,5,7,7
67,67,22/02/2021 15:32:40:963,396,377,1612,1,2,27,31.4,-0.86,0,0,27,4.43,58,907.5,20.96,37.16,-0.03,0,0,5,1748,0,#####,#####,#####,0,#####,43.57,#####,#####,#####,#####,14,#####,#####,38,66,0,2,66,7897,-20,1,#####,1,#####,0,0,31,1,11,#####,0,#####,6,88888,3,5,7,7
68,68,22/02/2021 15:32:41:63,407,373,1887,1,2,27,29.9,-3.23,0,0,27,6.11,58,907.5,20.96,37.16,-0.13,0,0,5,1945,0,#####,#####,#####,0,#####,36.11,#####,#####,#####,#####,14,#####,#####,38,66,0,2,60,7897,-19,1,#####,1,#####,0,0,31,2,11,#####,0,#####,24,88888,3,5,7,7
69,69,22/02/2021 15:32:41:163,418,364,1887,1,2,27,28.4,-25.42,0,0,27,10.93,58,907.5,20.96,37.15,-0.97,0,0,5,1945,0,#####,#####,#####,0,#####,36.11,#####,#####,#####,#####,14,#####,#####,38,66,0,2,60,7897,-19,1,#####,1,#####,0,0,31,2,11,#####,0,#####,24,88888,3,5,7,7
70,70,22/02/2021 15:32:41:263,429,396,1887,1,2,13,27,-32.07,0,0,27,13.46,58,907.5,20.96,37.15,-1.33,0,0,4,3716,0,#####,#####,#####,0,#####,22.77,#####,#####,#####,#####,14,#####,#####,38,66,0,2,51,7897,-14,1,#####,1,#####,1,0,31,0,12,#####,0,#####,37.5,88888,2,5,7,7
71,71,22/02/2021 15:32:41:363,427,422,1887,1,2,0,27,-29.21,0,0,44,0,58,907.5,20.96,37.15,-1.29,0,0,4,3716,0,#####,#####,#####,0,#####,22.77,#####,#####,#####,#####,14,#####,#####,38,66,0,2,51,7897,-14,1,#####,1,#####,1,0,31,0,12,#####,0,#####,37.5,88888,2,5,8,8
72,72,22/02/2021 15:32:41:463,427,433,1887,1,2,0,27,-24.5,0,0,44,0,58,907.5,20.97,37.17,-1.11,0,0,4,4044,0,#####,#####,#####,0,#####,34.54,#####,#####,#####,#####,15,#####,#####,38,66,0,2,66,7897,-6,1,#####,1,#####,1,0,31,2,17,#####,0,#####,43.5,88888,2,5,8,8
73,73,22/02/2021 15:32:41:562,427,434,3928,1,1,0,27,-18.31,0,0,44,0,58,907.5,20.96,37.14,-0.83,0,0,4,4044,0,#####,#####,#####,0,#####,34.54,#####,#####,#####,#####,15,#####,#####,38,66,0,2,66,7897,-6,1,#####,1,#####,1,0,31,2,17,#####,0,#####,43.5,88888,3,5,8,8
74,74,22/02/2021 15:32:41:662,427,433,3928,1,1,0,27,-13.61,0,0,44,0,58,907.5,20.96,37.14,-0.62,0,0,4,4261,0,#####,#####,#####,0,#####,28.26,#####,#####,#####,#####,15,#####,#####,38,66,0,2,51,7897,-6,1,#####,1,#####,6,0,31,0,13,#####,0,#####,42,88888,3,5,8,8
75,75,22/02/2021 15:32:41:762,427,431,3928,1,1,0,27,-9.25,0,0,44,0,58,907.5,20.96,37.13,-0.42,0,0,4,4261,0,#####,#####,#####,0,#####,28.26,#####,#####,#####,#####,15,#####,#####,38,66,0,2,51,7897,-6,1,#####,1,#####,6,0,31,0,13,#####,0,#####,42,88888,1,5,8,8
76,76,22/02/2021 15:32:41:862,427,430,3928,1,1,0,27,-7.34,0,0,44,0,58,907.5,20.96,37.13,-0.33,0,0,4,3541,0,#####,#####,#####,0,#####,16.49,#####,#####,#####,#####,15,#####,#####,38,66,0,4,43,7897,-13,1,#####,1,#####,2,0,31,0,11,#####,0,#####,6.5,88888,1,5,8,8
77,77,22/02/2021 15:32:41:963,427,429,3928,1,1,0,27,-5.74,0,0,44,0,58,907.5,20.97,37.14,-0.26,0,0,4,3541,0,#####,#####,#####,0,#####,16.49,#####,#####,#####,#####,15,#####,#####,38,66,0,4,43,7897,-13,1,#####,1,#####,2,0,31,0,11,#####,0,#####,6.5,88888,1,5,8,8
78,78,22/02/2021 15:32:42:63,400,430,3928,2,1,44,9.6,-2.86,0,0,44,1.4,58,907.5,20.97,37.14,-0.13,0,0,5,3541,0,#####,#####,#####,0,#####,20.8,#####,#####,#####,#####,14,#####,#####,38,66,0,4,46,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,-1.5,88888,1,5,8,8
79,79,22/02/2021 15:32:42:162,369,419,3299,2,1,44,26.7,-1.6,0,0,44,2.86,58,907.5,20.96,37.15,-0.07,0,0,5,3541,0,#####,#####,#####,0,#####,20.8,#####,#####,#####,#####,14,#####,#####,38,66,0,4,46,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,-1.5,88888,1,5,8,8
80,80,22/02/2021 15:32:42:262,339,390,3299,2,1,44,43.8,-5.77,0,0,44,5.54,58,907.5,20.96,37.15,-0.24,0,0,5,2762,0,#####,#####,#####,0,#####,28.65,#####,#####,#####,#####,14,#####,#####,38,66,0,4,54,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,-5.5,88888,1,5,8,8
81,81,22/02/2021 15:32:42:362,362,364,3299,2,1,22,41.8,-4.75,0,0,22,8.81,58,907.5,20.96,37.15,-0.18,0,0,5,2762,0,#####,#####,#####,0,#####,28.65,#####,#####,#####,#####,14,#####,#####,38,66,0,4,54,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,-5.5,88888,1,5,9,9
82,82,22/02/2021 15:32:42:462,387,352,3299,2,1,22,39.7,-3.73,0,0,22,11.76,58,907.5,20.96,37.2,-0.14,0,0,5,2015,0,#####,#####,#####,0,#####,34.15,#####,#####,#####,#####,15,#####,#####,38,66,0,4,55,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,3.5,88888,1,5,9,9
83,83,22/02/2021 15:32:42:562,412,366,3299,2,1,22,37.5,-3.29,0,0,22,14.54,58,907.5,20.96,37.21,-0.13,0,0,5,2015,0,#####,#####,#####,0,#####,34.15,#####,#####,#####,#####,15,#####,#####,38,66,0,4,55,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,3.5,88888,1,5,9,9
84,84,22/02/2021 15:32:42:662,437,390,2102,2,2,22,35.4,-3.78,0,0,22,17.3,58,907.5,20.96,37.21,-0.15,0,0,5,2064,0,#####,#####,#####,0,#####,39.64,#####,#####,#####,#####,14,#####,#####,38,66,0,4,63,7897,-17,1,#####,1,#####,4,0,31,0,15,#####,0,#####,22.5,88888,1,5,9,9
85,85,22/02/2021 15:32:42:762,462,422,2102,2,2,22,33.2,1.5,0,0,22,19.3,58,907.5,20.96,37.21,0.07,0,0,5,2064,0,#####,#####,#####,0,#####,39.64,#####,#####,#####,#####,14,#####,#####,38,66,0,4,63,7897,-17,1,#####,1,#####,4,0,31,0,15,#####,0,#####,22.5,88888,2,5,9,9
86,86,22/02/2021 15:32:42:862,488,449,2102,2,2,22,31.1,5.67,0,0,22,20.86,58,907.5,20.96,37.21,0.27,0,0,5,2338,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,14,#####,#####,38,66,0,4,74,7897,-12,1,#####,1,#####,9,0,31,0,15,#####,0,#####,23,88888,2,5,9,9
87,87,22/02/2021 15:32:42:962,513,473,2102,2,2,22,28.9,9.22,0,0,22,22,58,907.5,20.96,37.21,0.46,0,0,5,2338,0,#####,#####,#####,0,#####,45.53,#####,#####,#####,#####,14,#####,#####,38,66,0,4,74,7897,-12,1,#####,1,#####,9,0,31,0,15,#####,0,#####,23,88888,2,5,9,9
88,88,22/02/2021 15:32:43:62,538,497,2102,2,2,22,26.8,14.31,0,0,22,22.57,58,907.6,20.97,37.22,0.74,0,0,5,2506,0,#####,#####,#####,0,#####,58.88,#####,#####,#####,#####,14,#####,#####,38,66,0,4,81,7897,-8,1,#####,1,#####,14,0,31,0,20,#####,0,#####,22.5,88888,2,5,9,9
89,89,22/02/2021 15:32:43:162,563,522,2747,2,2,22,24.6,18.7,0,0,22,22.73,58,907.6,20.96,37.22,1.02,0,0,5,2506,0,#####,#####,#####,0,#####,58.88,#####,#####,#####,#####,14,#####,#####,38,66,0,4,81,7897,-8,1,#####,1,#####,14,0,31,0,20,#####,0,#####,22.5,88888,3,5,9,9
90,90,22/02/2021 15:32:43:262,588,546,2747,2,2,22,22.4,21.26,0,0,22,22.59,58,907.5,20.96,37.22,1.22,0,0,5,2869,0,#####,#####,#####,0,#####,66.33,#####,#####,#####,#####,14,#####,#####,38,66,0,2,82,7897,-5,1,#####,1,#####,16,0,31,0,25,#####,0,#####,24.5,88888,2,5,9,9
91,91,22/02/2021 15:32:43:362,577,570,2747,2,2,22,22.4,23.59,0,0,22,22.38,58,907.5,20.96,37.22,1.41,0,0,5,2869,0,#####,#####,#####,0,#####,66.33,#####,#####,#####,#####,14,#####,#####,38,66,0,2,82,7897,-5,1,#####,1,#####,16,0,31,0,25,#####,0,#####,24.5,88888,2,5,10,10
92,92,22/02/2021 15:32:43:462,565,585,2747,2,2,22,22.4,27.3,0,0,22,21.9,58,907.5,20.96,37.21,1.67,0,0,5,3148,0,#####,#####,#####,0,#####,66.33,#####,#####,#####,#####,14,#####,#####,38,66,0,2,83,7897,-3,1,#####,1,#####,18,0,31,-3,27,#####,0,#####,25.5,88888,2,5,10,10
93,93,22/02/2021 15:32:43:562,553,579,2747,2,2,22,22.3,31.55,0,0,22,21.08,58,907.5,20.96,37.21,1.91,0,0,5,3148,0,#####,#####,#####,0,#####,66.33,#####,#####,#####,#####,14,#####,#####,38,66,0,2,83,7897,-3,1,#####,1,#####,18,0,31,-3,27,#####,0,#####,25.5,88888,2,5,10,10
94,94,22/02/2021 15:32:43:662,541,567,3281,2,2,22,22.3,33.8,0,0,22,20.14,58,907.5,20.96,37.21,2.01,0,0,5,3422,0,#####,#####,#####,0,#####,70.26,#####,#####,#####,#####,15,#####,#####,38,66,0,2,83,7897,-3,1,#####,1,#####,18,0,31,-7,29,#####,0,#####,24,88888,2,5,10,10
95,95,22/02/2021 15:32:43:762,529,553,3281,2,2,22,22.2,35.62,0,0,22,19.09,58,907.5,20.97,37.18,2.06,0,0,5,3422,0,#####,#####,#####,0,#####,70.26,#####,#####,#####,#####,15,#####,#####,38,66,0,2,83,7897,-3,1,#####,1,#####,18,0,31,-7,29,#####,0,#####,24,88888,2,5,10,10
96,96,22/02/2021 15:32:43:862,517,540,3281,2,2,22,22.2,37.15,0,0,22,17.94,58,907.5,20.97,37.18,2.1,0,0,5,3252,0,#####,#####,#####,0,#####,72.22,#####,#####,#####,#####,15,#####,#####,38,66,0,2,83,7897,-3,1,#####,1,#####,18,0,31,-13,29,#####,0,#####,21,88888,2,5,10,10
97,97,22/02/2021 15:32:43:962,505,527,3281,2,2,22,22.1,37.96,0,0,22,16.78,58,907.5,20.97,37.18,2.09,0,0,5,3252,0,#####,#####,#####,0,#####,72.22,#####,#####,#####,#####,15,#####,#####,38,66,0,2,83,7897,-3,1,#####,1,#####,18,0,31,-13,29,#####,0,#####,21,88888,2,5,10,10
98,98,22/02/2021 15:32:44:62,492,514,3281,2,2,22,22.1,38.09,0,0,22,15.62,58,907.5,20.96,37.19,2.05,0,0,5,3091,0,#####,#####,#####,0,#####,70.65,#####,#####,#####,#####,14,#####,#####,38,66,0,2,84,7897,-4,1,#####,1,#####,18,0,31,-13,29,#####,0,#####,21.5,88888,2,5,10,10
99,99,22/02/2021 15:32:44:162,480,501,3024,2,2,22,22,37.8,0,0,22,14.51,58,907.5,20.96,37.19,1.98,0,0,5,3091,0,#####,#####,#####,0,#####,70.65,#####,#####,#####,#####,14,#####,#####,38,66,0,2,84,7897,-4,1,#####,1,#####,18,0,31,-13,29,#####,0,#####,21.5,88888,2,5,10,10
100,100,22/02/2021 15:32:44:262,468,489,3024,2,2,22,22,37.66,0,0,22,13.39,58,907.5,20.96,37.19,1.93,0,0,5,2951,0,#####,#####,#####,0,#####,67.51,#####,#####,#####,#####,14,#####,#####,38,66,0,2,82,7897,-5,1,#####,1,#####,16,0,31,-10,27,#####,0,#####,22.5,88888,2,5,10,10
101,101,22/02/2021 15:32:44:362,467,477,3024,2,2,0,20,37.39,0,0,0,12.07,58,907.5,20.96,37.19,1.87,0,0,5,2951,0,#####,#####,#####,0,#####,67.51,#####,#####,#####,#####,14,#####,#####,38,66,0,2,82,7897,-5,1,#####,1,#####,16,0,31,-10,27,#####,0,#####,22.5,88888,2,5,11,11
102,102,22/02/2021 15:32:44:462,465,468,3024,2,2,0,17.8,36.86,0,0,0,10.63,58,907.5,20.96,37.2,1.81,0,0,5,2675,0,#####,#####,#####,0,#####,63.98,#####,#####,#####,#####,14,#####,#####,38,66,0,2,81,7897,-5,1,#####,1,#####,15,0,31,-10,26,#####,0,#####,22.5,88888,2,5,11,11
103,103,22/02/2021 15:32:44:562,464,464,3024,2,2,0,15.6,35.47,0,0,0,9.16,58,907.5,20.96,37.2,1.72,0,0,5,2675,0,#####,#####,#####,0,#####,63.98,#####,#####,#####,#####,14,#####,#####,38,66,0,2,81,7897,-5,1,#####,1,#####,15,0,31,-10,26,#####,0,#####,22.5,88888,2,5,11,11
104,104,22/02/2021 15:32:44:662,462,462,2703,2,2,0,13.3,33.27,0,0,0,7.71,58,907.5,20.96,37.21,1.61,0,0,5,2646,0,#####,#####,#####,0,#####,56.91,#####,#####,#####,#####,14,#####,#####,38,66,0,2,80,7897,-7,1,#####,1,#####,12,0,31,-10,23,#####,0,#####,24.5,88888,2,5,11,11
105,105,22/02/2021 15:32:44:762,461,460,2703,2,2,0,11.1,31.16,0,0,0,6.27,58,907.5,20.96,37.21,1.5,0,0,5,2646,0,#####,#####,#####,0,#####,56.91,#####,#####,#####,#####,14,#####,#####,38,66,0,2,80,7897,-7,1,#####,1,#####,12,0,31,-10,23,#####,0,#####,24.5,88888,2,5,11,11
106,106,22/02/2021 15:32:44:862,459,458,2703,2,2,0,8.9,29.35,0,0,0,4.79,58,907.5,20.96,37.21,1.41,0,0,5,2638,0,#####,#####,#####,0,#####,49.46,#####,#####,#####,#####,14,#####,#####,38,66,0,2,77,7897,-8,1,#####,1,#####,10,0,31,-7,21,#####,0,#####,24.5,88888,2,5,11,11
107,107,22/02/2021 15:32:44:962,458,456,2703,2,2,0,6.7,26.81,0,0,0,3.36,58,907.5,20.96,37.21,1.28,0,0,5,2638,0,#####,#####,#####,0,#####,49.46,#####,#####,#####,#####,14,#####,#####,38,66,0,2,77,7897,-8,1,#####,1,#####,10,0,31,-7,21,#####,0,#####,24.5,88888,2,5,11,11
108,108,22/02/2021 15:32:45:62,456,454,2703,2,2,0,4.4,23.27,0,0,0,2.03,58,907.5,20.97,37.22,1.11,0,0,5,2602,0,#####,#####,#####,0,#####,41.6,#####,#####,#####,#####,14,#####,#####,38,66,0,2,70,7897,-11,1,#####,1,#####,7,0,31,-5,15,#####,0,#####,24.5,88888,2,5,11,11
109,109,22/02/2021 15:32:45:162,455,452,2617,2,2,0,2.2,19.8,0,0,0,0.83,58,907.5,20.96,37.21,0.94,0,0,5,2602,0,#####,#####,#####,0,#####,41.6,#####,#####,#####,#####,14,#####,#####,38,66,0,2,70,7897,-11,1,#####,1,#####,7,0,31,-5,15,#####,0,#####,24.5,88888,2,5,11,11
110,110,22/02/2021 15:32:45:262,453,451,2617,2,2,0,0,17.21,0,0,0,0,58,907.5,20.96,37.21,0.81,0,0,5,2598,0,#####,#####,#####,0,#####,34.93,#####,#####,#####,#####,14,#####,#####,38,66,0,2,61,7897,-15,1,#####,1,#####,4,0,31,-2,13,#####,0,#####,24.5,88888,2,5,11,11
111,111,22/02/2021 15:32:45:362,461,448,2617,2,2,22,2,13.94,0,0,22,0,58,907.5,20.96,37.21,0.65,0,0,5,2598,0,#####,#####,#####,0,#####,34.93,#####,#####,#####,#####,14,#####,#####,38,66,0,2,61,7897,-15,1,#####,1,#####,4,0,31,-2,13,#####,0,#####,24.5,88888,2,5,12,12
112,112,22/02/2021 15:32:45:462,469,447,2617,2,2,22,4.1,7.95,0,0,22,0.19,58,907.5,20.96,37.22,0.37,0,0,5,2396,0,#####,#####,#####,0,#####,27.48,#####,#####,#####,#####,14,#####,#####,38,66,0,2,49,7897,-15,1,#####,1,#####,2,0,31,-1,11,#####,0,#####,-4.5,88888,2,5,12,12
113,113,22/02/2021 15:32:45:562,478,450,2617,2,2,22,6.3,-1.43,0,0,22,1.14,58,907.5,20.96,37.22,-0.07,0,0,5,2396,0,#####,#####,#####,0,#####,27.48,#####,#####,#####,#####,14,#####,#####,38,66,0,2,49,7897,-15,1,#####,1,#####,2,0,31,-1,11,#####,0,#####,-4.5,88888,2,5,12,12
114,114,22/02/2021 15:32:45:662,486,464,2617,2,2,22,8.5,-4.22,0,0,22,2.34,58,907.5,20.96,37.21,-0.21,0,0,5,2678,0,#####,#####,#####,0,#####,24.34,#####,#####,#####,#####,14,#####,#####,38,66,0,2,49,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,-1.5,88888,2,5,12,12
115,115,22/02/2021 15:32:45:762,495,475,2538,2,2,22,10.7,-6.85,0,0,22,3.83,58,907.5,20.96,37.21,-0.34,0,0,5,2678,0,#####,#####,#####,0,#####,24.34,#####,#####,#####,#####,14,#####,#####,38,66,0,2,49,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,-1.5,88888,2,5,12,12
116,116,22/02/2021 15:32:45:862,503,485,2538,2,2,22,12.9,-9.32,0,0,22,5.65,58,907.5,20.96,37.21,-0.47,0,0,5,2678,0,#####,#####,#####,0,#####,23.16,#####,#####,#####,#####,14,#####,#####,38,66,0,4,48,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,0,88888,2,5,12,12
117,117,22/02/2021 15:32:45:962,512,494,2538,2,2,22,15.1,-11.49,0,0,22,7.73,58,907.5,20.96,37.21,-0.59,0,0,5,2678,0,#####,#####,#####,0,#####,23.16,#####,#####,#####,#####,14,#####,#####,38,66,0,4,48,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,0,88888,2,5,12,12
118,118,22/02/2021 15:32:46:62,520,503,2538,2,2,22,17.3,-12.87,0,0,22,10.05,58,907.5,20.97,37.22,-0.68,0,0,5,2797,0,#####,#####,#####,0,#####,22.37,#####,#####,#####,#####,14,#####,#####,38,66,0,4,47,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,0.5,88888,2,5,12,12
119,119,22/02/2021 15:32:46:162,529,514,2538,2,2,22,19.4,-13.41,0,0,22,12.53,58,907.5,20.97,37.22,-0.72,0,0,5,2797,0,#####,#####,#####,0,#####,22.37,#####,#####,#####,#####,14,#####,#####,38,66,0,4,47,7897,-20,1,#####,1,#####,0,0,31,0,11,#####,0,#####,0.5,88888,2,5,12,12
120,120,22/02/2021 15:32:46:262,537,526,2933,2,2,22,21.6,-10.64,0,0,22,14.81,58,907.5,20.97,37.2,-0.59,0,0,5,2892,0,#####,#####,#####,0,#####,30.22,#####,#####,#####,#####,14,#####,#####,38,66,0,4,57,7897,-19,1,#####,1,#####,3,0,31,0,14,#####,0,#####,29,88888,2,5,12,12
121,121,22/02/2021 15:32:46:362,530,538,2933,2,2,0,19.7,-5.5,0,0,0,16.4,58,907.5,20.97,37.2,-0.31,0,0,5,2892,0,#####,#####,#####,0,#####,30.22,#####,#####,#####,#####,14,#####,#####,38,66,0,4,57,7897,-19,1,#####,1,#####,3,0,31,0,14,#####,0,#####,29,88888,2,5,13,13
122,122,22/02/2021 15:32:46:462,522,544,2933,2,2,0,17.5,2.61,0,0,0,17.05,58,907.5,20.97,37.21,0.15,0,0,5,3150,0,#####,#####,#####,0,#####,37.68,#####,#####,#####,#####,15,#####,#####,38,66,0,4,69,7897,-10,1,#####,1,#####,8,0,31,0,19,#####,0,#####,29,88888,2,5,13,13
123,123,22/02/2021 15:32:46:562,513,537,2933,2,2,0,15.3,7.2,0,0,0,17.29,58,907.5,20.97,37.21,0.4,0,0,5,3150,0,#####,#####,#####,0,#####,37.68,#####,#####,#####,#####,15,#####,#####,38,66,0,4,69,7897,-10,1,#####,1,#####,8,0,31,0,19,#####,0,#####,29,88888,2,5,13,13
124,124,22/02/2021 15:32:46:662,505,528,2933,2,2,0,13.1,11.52,0,0,0,17.09,58,907.5,20.97,37.23,0.64,0,0,5,3118,0,#####,#####,#####,0,#####,47.89,#####,#####,#####,#####,14,#####,#####,38,66,0,4,77,7897,-7,1,#####,1,#####,11,0,31,0,19,#####,0,#####,28.5,88888,2,5,13,13
125,125,22/02/2021 15:32:46:762,497,519,3109,2,2,0,10.9,17.26,0,0,0,16.28,58,907.5,20.97,37.24,0.94,0,0,5,3118,0,#####,#####,#####,0,#####,47.89,#####,#####,#####,#####,14,#####,#####,38,66,0,4,77,7897,-7,1,#####,1,#####,11,0,31,0,19,#####,0,#####,28.5,88888,2,5,13,13
126,126,22/02/2021 15:32:46:862,489,509,3109,2,2,0,8.7,21.96,0,0,0,15.07,58,907.5,20.97,37.24,1.17,0,0,5,3031,0,#####,#####,#####,0,#####,55.34,#####,#####,#####,#####,14,#####,#####,38,66,0,4,81,7897,-5,1,#####,1,#####,13,0,31,0,22,#####,0,#####,24.5,88888,2,5,13,13
127,127,22/02/2021 15:32:46:962,481,499,3109,2,2,0,6.6,24.59,0,0,0,13.54,58,907.5,20.97,37.24,1.28,0,0,5,3031,0,#####,#####,#####,0,#####,55.34,#####,#####,#####,#####,14,#####,#####,38,66,0,4,81,7897,-5,1,#####,1,#####,13,0,31,0,22,#####,0,#####,24.5,88888,2,5,13,13
128,128,22/02/2021 15:32:47:62,473,490,3109,2,2,0,4.4,26.6,0,0,0,11.76,58,907.5,20.97,37.24,1.36,0,0,5,2915,0,#####,#####,#####,0,#####,63.59,#####,#####,#####,#####,15,#####,#####,38,66,0,4,82,7897,-5,1,#####,1,#####,13,0,31,0,24,#####,0,#####,23,88888,2,5,13,13
129,129,22/02/2021 15:32:47:162,464,481,3109,2,2,0,2.2,29.09,0,0,0,9.62,58,907.5,20.97,37.24,1.47,0,0,5,2915,0,#####,#####,#####,0,#####,63.59,#####,#####,#####,#####,15,#####,#####,38,66,0,4,82,7897,-5,1,#####,1,#####,13,0,31,0,24,#####,0,#####,23,88888,2,5,13,13
130,130,22/02/2021 15:32:47:262,456,472,2812,2,2,0,0,30.33,0,0,0,7.29,58,907.5,20.96,37.25,1.5,0,0,5,2821,0,#####,#####,#####,0,#####,57.31,#####,#####,#####,#####,15,#####,#####,38,66,0,2,82,7897,-5,1,#####,1,#####,11,0,31,0,24,#####,0,#####,26,88888,2,5,13,13
131,131,22/02/2021 15:32:47:362,450,462,2812,2,2,0,0,30.08,0,0,0,5.14,58,907.5,20.96,37.25,1.46,0,0,5,2821,0,#####,#####,#####,0,#####,57.31,#####,#####,#####,#####,15,#####,#####,38,66,0,2,82,7897,-5,1,#####,1,#####,11,0,31,0,24,#####,0,#####,26,88888,2,5,14,14
132,132,22/02/2021 15:32:47:462,443,453,2812,2,2,0,0,29.21,0,0,0,3.1,58,907.5,20.96,37.26,1.39,0,0,5,2706,0,#####,#####,#####,0,#####,49.46,#####,#####,#####,#####,14,#####,#####,38,66,0,2,80,7897,-6,1,#####,1,#####,7,0,31,-6,22,#####,0,#####,24.5,88888,2,5,14,14
133,133,22/02/2021 15:32:47:562,437,445,2812,2,2,0,0,26.91,0,0,0,1.26,58,907.5,20.96,37.26,1.25,0,0,5,2706,0,#####,#####,#####,0,#####,49.46,#####,#####,#####,#####,14,#####,#####,38,66,0,2,80,7897,-6,1,#####,1,#####,7,0,31,-6,22,#####,0,#####,24.5,88888,2,5,14,14
134,134,22/02/2021 15:32:47:662,430,437,2812,2,2,0,0,22.95,0,0,0,0,58,907.5,20.96,37.27,1.05,0,0,5,2598,0,#####,#####,#####,0,#####,39.25,#####,#####,#####,#####,14,#####,#####,38,66,0,2,76,7897,-12,1,#####,1,#####,4,0,31,-9,18,#####,0,#####,24,88888,2,5,14,14
135,135,22/02/2021 15:32:47:762,423,428,2541,2,2,0,0,18.71,0,0,0,0,58,907.5,20.96,37.27,0.84,0,0,5,2598,0,#####,#####,#####,0,#####,39.25,#####,#####,#####,#####,14,#####,#####,38,66,0,2,76,7897,-12,1,#####,1,#####,4,0,31,-9,18,#####,0,#####,24,88888,2,5,14,14
136,136,22/02/2021 15:32:47:862,417,422,2541,2,2,0,0,14.93,0,0,0,0,58,907.5,20.96,37.27,0.66,0,0,5,2507,0,#####,#####,#####,0,#####,28.26,#####,#####,#####,#####,14,#####,#####,38,66,0,2,52,7897,-19,1,#####,1,#####,4,0,31,-5,15,#####,0,#####,24,88888,2,5,14,14
137,137,22/02/2021 15:32:47:962,410,413,2541,2,2,0,0,10.08,0,0,0,0.09,58,907.5,20.97,37.26,0.44,0,0,5,2507,0,#####,#####,#####,0,#####,28.26,#####,#####,#####,#####,14,#####,#####,38,66,0,2,52,7897,-19,1,#####,1,#####,4,0,31,-5,15,#####,0,#####,24,88888,2,5,14,14
138,138,22/02/2021 15:32:48:62,403,404,2541,2,2,0,0,1.7,0,0,0,0.39,58,907.5,20.97,37.28,0.07,0,0,5,2282,0,#####,#####,#####,0,#####,27.08,#####,#####,#####,#####,14,#####,#####,38,66,0,2,52,7897,-20,1,#####,1,#####,0,0,31,-4,11,#####,0,#####,-2.5,88888,2,5,14,14
139,139,22/02/2021 15:32:48:162,397,403,2541,2,2,0,0,-1.66,0,0,0,0.68,58,907.5,20.97,37.28,-0.07,0,0,5,2282,0,#####,#####,#####,0,#####,27.08,#####,#####,#####,#####,14,#####,#####,38,66,0,2,52,7897,-20,1,#####,1,#####,0,0,31,-4,11,#####,0,#####,-2.5,88888,2,5,14,14
